channel,color,modem_fs,algorithm,ber_0dB,decode_ms_0dB,ber_5dB,decode_ms_5dB,ber_10dB,decode_ms_10dB,ber_15dB,decode_ms_15dB,ber_20dB,decode_ms_20dB,ber_25dB,decode_ms_25dB,ber_30dB,decode_ms_30dB
yellow3,yellow,12500,JUNA-Wz,0.447058823529,72.490662,0.441176470588,74.818982,0.370588235294,76.212740,0.382352941176,70.939588,0.341176470588,85.598404,0.3,76.649773,0.329411764706,70.075340
yellow3,yellow,12500,JUNA-WCz,0.452941176471,12.820711,0.441176470588,13.268990,0.370588235294,13.090841,0.382352941176,16.187528,0.341176470588,13.384451,0.3,15.296112,0.317647058824,14.167374
yellow4,yellow,12500,Standard OFDM,0.288235294118,3.718221,0.241176470588,2.978123,0.1,4.607760,0.0882352941176,3.170013,0.0705882352941,2.967983,0.0705882352941,3.146480,0.0941176470588,3.187438
yellow4,yellow,12500,Partial FFT+FEC,0.305882352941,3.096971,0.223529411765,3.020120,0.205882352941,3.418407,0.0941176470588,3.286763,0.135294117647,2.987560,0.147058823529,3.385046,0.141176470588,3.108260
yellow4,yellow,12500,JUNA-Lite,0.305882352941,13.731996,0.229411764706,12.085297,0.205882352941,11.025436,0.1,13.555892,0.0882352941176,13.940805,0.117647058824,13.299605,0.1,12.452234
yellow4,yellow,12500,JUNA-Wz,0.341176470588,74.679639,0.270588235294,97.870512,0.247058823529,79.560550,0.135294117647,76.353732,0.182352941176,73.498743,0.176470588235,80.811453,0.152941176471,73.100242
yellow4,yellow,12500,JUNA-WCz,0.341176470588,13.081895,0.264705882353,13.450064,0.241176470588,13.438114,0.135294117647,14.029529,0.182352941176,16.561748,0.164705882353,13.563487,0.152941176471,13.330053
yellow5,yellow,12500,Standard OFDM,0.388235294118,2.978645,0.352941176471,5.119786,0.382352941176,4.511497,0.329411764706,5.072590,0.311764705882,4.311891,0.3,3.855594,0.311764705882,3.366669
yellow5,yellow,12500,Partial FFT+FEC,0.476470588235,3.209630,0.464705882353,5.251403,0.411764705882,5.030629,0.394117647059,5.674921,0.364705882353,4.866747,0.364705882353,3.667609,0.417647058824,3.049690
yellow5,yellow,12500,JUNA-Lite,0.429411764706,16.458250,0.464705882353,10.112481,0.388235294118,13.154339,0.394117647059,20.021501,0.4,15.717060,0.423529411765,12.248457,0.417647058824,8.876543
yellow5,yellow,12500,JUNA-Wz,0.476470588235,76.847021,0.476470588235,73.751307,0.388235294118,83.716470,0.388235294118,105.539752,0.394117647059,73.688065,0.429411764706,79.882823,0.435294117647,88.024413
yellow5,yellow,12500,JUNA-WCz,0.470588235294,15.910480,0.482352941176,15.734725,0.388235294118,15.337137,0.388235294118,13.189435,0.382352941176,14.564984,0.429411764706,12.696582,0.441176470588,20.194854
yellow6,yellow,12500,Standard OFDM,0.282352941176,2.978903,0.252941176471,3.229832,0.2,4.894664,0.205882352941,2.986504,0.182352941176,2.995723,0.147058823529,3.215734,0.2,3.430099
yellow6,yellow,12500,Partial FFT+FEC,0.394117647059,2.909853,0.317647058824,3.647323,0.294117647059,3.540929,0.335294117647,3.008071,0.347058823529,3.004968,0.358823529412,3.292478,0.347058823529,3.129665
yellow6,yellow,12500,JUNA-Lite,0.394117647059,9.193504,0.317647058824,8.990793,0.294117647059,8.520585,0.264705882353,12.308724,0.347058823529,9.265333,0.288235294118,11.967237,0.347058823529,8.680007
yellow6,yellow,12500,JUNA-Wz,0.347058823529,70.535122,0.335294117647,71.244447,0.335294117647,70.121681,0.323529411765,74.112477,0.347058823529,71.994742,0.364705882353,73.849655,0.376470588235,74.316259
yellow6,yellow,12500,JUNA-WCz,0.358823529412,13.111393,0.335294117647,13.035417,0.323529411765,13.033785,0.317647058824,13.119929,0.347058823529,16.050408,0.352941176471,14.789398,0.376470588235,13.371729
