channel,color,algorithm,profile,receiver,modem_fs,capture_fs,packets,successful_packets,psr,payload_bits,bit_errors,ber,decode_failures,mean_decode_seconds,total_decode_seconds,snr_db,seed,status
red3,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,170,47,0.276470588235,0,0.013791994,0.013791994,25,20260715,ok
red3,red,Standard OFDM,standard,3,19200,19200,1,0,0,170,8,0.0470588235294,0,0.003011549,0.003011549,30,20260715,ok
red3,red,Partial FFT+FEC,pfft,3,19200,19200,1,0,0,170,38,0.223529411765,0,0.003152888,0.003152888,30,20260715,ok
red3,red,JUNA-Lite,lite,3,19200,19200,1,0,0,170,24,0.141176470588,0,0.012163143,0.012163143,30,20260715,ok
red3,red,JUNA-Wz,full,3,19200,19200,1,0,0,170,42,0.247058823529,0,0.071943777,0.071943777,30,20260715,ok
red3,red,JUNA-WCz,coupled,3,19200,19200,1,0,0,170,42,0.247058823529,0,0.013361547,0.013361547,30,20260715,ok
blue1,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,48,0.282352941176,0,0.003078739,0.003078739,0,20260715,ok
blue1,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,61,0.358823529412,0,0.003073675,0.003073675,0,20260715,ok
blue1,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,61,0.358823529412,0,0.010858187,0.010858187,0,20260715,ok
blue1,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,57,0.335294117647,0,0.070860611,0.070860611,0,20260715,ok
blue1,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,59,0.347058823529,0,0.014190359,0.014190359,0,20260715,ok
blue1,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,25,0.147058823529,0,0.002956386,0.002956386,5,20260715,ok
blue1,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,37,0.217647058824,0,0.003389123,0.003389123,5,20260715,ok
blue1,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,37,0.217647058824,0,0.009502822,0.009502822,5,20260715,ok
blue1,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,50,0.294117647059,0,0.07070537,0.07070537,5,20260715,ok
blue1,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,50,0.294117647059,0,0.014652979,0.014652979,5,20260715,ok
blue1,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,21,0.123529411765,0,0.003304082,0.003304082,10,20260715,ok
blue1,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,32,0.188235294118,0,0.003800512,0.003800512,10,20260715,ok
blue1,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,32,0.188235294118,0,0.010150365,0.010150365,10,20260715,ok
blue1,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,42,0.247058823529,0,0.078864228,0.078864228,10,20260715,ok
blue1,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,42,0.247058823529,0,0.013013954,0.013013954,10,20260715,ok
blue1,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,18,0.105882352941,0,0.002959474,0.002959474,15,20260715,ok
blue1,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,31,0.182352941176,0,0.003061922,0.003061922,15,20260715,ok
blue1,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,23,0.135294117647,0,0.013173419,0.013173419,15,20260715,ok
blue1,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,39,0.229411764706,0,0.0742328,0.0742328,15,20260715,ok
blue1,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,39,0.229411764706,0,0.012658561,0.012658561,15,20260715,ok
blue1,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,17,0.1,0,0.003032075,0.003032075,20,20260715,ok
blue1,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,29,0.170588235294,0,0.003091608,0.003091608,20,20260715,ok
blue1,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,22,0.129411764706,0,0.012190988,0.012190988,20,20260715,ok
blue1,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,34,0.2,0,0.070076924,0.070076924,20,20260715,ok
blue1,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,34,0.2,0,0.013202001,0.013202001,20,20260715,ok
blue1,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,12,0.0705882352941,0,0.003751561,0.003751561,25,20260715,ok
blue1,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,26,0.152941176471,0,0.003521336,0.003521336,25,20260715,ok
blue1,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,20,0.117647058824,0,0.012543299,0.012543299,25,20260715,ok
blue1,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,33,0.194117647059,0,0.072912066,0.072912066,25,20260715,ok
blue1,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,32,0.188235294118,0,0.013149509,0.013149509,25,20260715,ok
blue1,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,10,0.0588235294118,0,0.003208375,0.003208375,30,20260715,ok
blue1,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,27,0.158823529412,0,0.003127568,0.003127568,30,20260715,ok
blue1,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,21,0.123529411765,0,0.012697624,0.012697624,30,20260715,ok
blue1,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,37,0.217647058824,0,0.071179939,0.071179939,30,20260715,ok
blue1,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,37,0.217647058824,0,0.013308518,0.013308518,30,20260715,ok
blue2,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,84,0.494117647059,0,0.002996059,0.002996059,0,20260715,ok
blue2,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,91,0.535294117647,0,0.003180284,0.003180284,0,20260715,ok
blue2,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,91,0.535294117647,0,0.008941608,0.008941608,0,20260715,ok
blue2,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,89,0.523529411765,0,0.072278059,0.072278059,0,20260715,ok
blue2,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,89,0.523529411765,0,0.013658253,0.013658253,0,20260715,ok
blue2,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,88,0.517647058824,0,0.00475359,0.00475359,5,20260715,ok
blue2,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,94,0.552941176471,0,0.00483395,0.00483395,5,20260715,ok
blue2,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,94,0.552941176471,0,0.014206823,0.014206823,5,20260715,ok
blue2,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,90,0.529411764706,0,0.074566909,0.074566909,5,20260715,ok
blue2,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,92,0.541176470588,0,0.01332004,0.01332004,5,20260715,ok
blue2,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,94,0.552941176471,0,0.003136914,0.003136914,10,20260715,ok
blue2,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,96,0.564705882353,0,0.003035788,0.003035788,10,20260715,ok
blue2,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,96,0.564705882353,0,0.008894238,0.008894238,10,20260715,ok
blue2,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,96,0.564705882353,0,0.074464034,0.074464034,10,20260715,ok
blue2,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,97,0.570588235294,0,0.013130567,0.013130567,10,20260715,ok
blue2,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,97,0.570588235294,0,0.003088738,0.003088738,15,20260715,ok
blue2,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,80,0.470588235294,0,0.003124549,0.003124549,15,20260715,ok
blue2,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,80,0.470588235294,0,0.009186983,0.009186983,15,20260715,ok
blue2,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,84,0.494117647059,0,0.069552788,0.069552788,15,20260715,ok
blue2,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,84,0.494117647059,0,0.013089554,0.013089554,15,20260715,ok
blue2,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,99,0.582352941176,0,0.003033939,0.003033939,20,20260715,ok
blue2,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,60,0.352941176471,0,0.003082996,0.003082996,20,20260715,ok
blue2,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,48,0.282352941176,0,0.012076747,0.012076747,20,20260715,ok
blue2,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,61,0.358823529412,0,0.072459899,0.072459899,20,20260715,ok
blue2,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,60,0.352941176471,0,0.013219308,0.013219308,20,20260715,ok
blue2,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,100,0.588235294118,0,0.003107003,0.003107003,25,20260715,ok
blue2,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,61,0.358823529412,0,0.002981072,0.002981072,25,20260715,ok
blue2,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,61,0.358823529412,0,0.009310741,0.009310741,25,20260715,ok
blue2,blue,JUNA-Wz,full,3,9765.625,9765.625,1,0,0,170,62,0.364705882353,0,0.069806036,0.069806036,25,20260715,ok
blue2,blue,JUNA-WCz,coupled,3,9765.625,9765.625,1,0,0,170,62,0.364705882353,0,0.013053259,0.013053259,25,20260715,ok
blue2,blue,Standard OFDM,standard,3,9765.625,9765.625,1,0,0,170,88,0.517647058824,0,0.003243343,0.003243343,30,20260715,ok
blue2,blue,Partial FFT+FEC,pfft,3,9765.625,9765.625,1,0,0,170,54,0.317647058824,0,0.003097633,0.003097633,30,20260715,ok
blue2,blue,JUNA-Lite,lite,3,9765.625,9765.625,1,0,0,170,45,0.264705882353,0,0.014073785,0.014073785,30,20260715,ok
