juna_core_commit,channel,snr_db,pilot_ratio,outer_pilot_spacing,inner_pilot_spacing,code_rate,nfft,cp,modem_fs,capture_fs,bandwidth_policy,requested_modem_bandwidth_hz,channel_bandwidth_hz,effective_bandwidth_hz,effective_bw,algorithm,blocks,successful_blocks,psr,payload_bits,bit_errors,ber,mean_decode_seconds_per_block,capture_duration_seconds,covered_duration_seconds,effective_data_rate_bps,seed,status
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.25,512,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Lite,1735,0,0,333120,118067,0.354427833814,0.00742422103689,47.7916666667,47.7125,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.25,512,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Wz,1735,0,0,333120,131943,0.396082492795,0.0469013126444,47.7916666667,47.7125,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.25,512,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-WCz,1735,0,0,333120,131911,0.395986431316,0.00878091495159,47.7916666667,47.7125,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.25,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Standard OFDM,881,0,0,341828,49896,0.145968147723,0.00464501121339,47.7916666667,47.7208333333,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.25,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Partial FFT+FEC,881,0,0,341828,84784,0.248031173573,0.00467259820204,47.7916666667,47.7208333333,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.25,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Lite,881,0,0,341828,76089,0.222594404203,0.0173210905255,47.7916666667,47.7208333333,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.25,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Wz,881,0,0,341828,93547,0.273666873398,0.107377773028,47.7916666667,47.7208333333,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.25,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-WCz,881,0,0,341828,93492,0.273505973765,0.0196805780068,47.7916666667,47.7208333333,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.25,2048,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Standard OFDM,444,0,0,346320,63590,0.183616308616,0.0113193504977,47.7916666667,47.73,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.25,2048,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Partial FFT+FEC,444,0,0,346320,63521,0.183417070917,0.010734010759,47.7916666667,47.73,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.25,2048,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Lite,444,0,0,346320,57482,0.165979440979,0.0379736256239,47.7916666667,47.73,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.25,2048,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Wz,444,0,0,346320,74817,0.216034303534,0.248213261923,47.7916666667,47.73,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.25,2048,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-WCz,444,0,0,346320,74742,0.215817740818,0.0420400529324,47.7916666667,47.73,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.5,512,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Standard OFDM,1735,0,0,667975,189393,0.283533066357,0.00194623738617,47.7916666667,47.7125,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.5,512,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Partial FFT+FEC,1735,0,0,667975,286727,0.429248100603,0.00185929185937,47.7916666667,47.7125,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.5,512,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Lite,1735,0,0,667975,278018,0.416210187507,0.00652844265648,47.7916666667,47.7125,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.5,512,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Wz,1735,0,0,667975,290583,0.435020771735,0.0402954399781,47.7916666667,47.7125,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.5,512,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-WCz,1735,0,0,667975,290621,0.435077660092,0.00754362479769,47.7916666667,47.7125,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.5,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Standard OFDM,881,0,0,684537,187368,0.273714934328,0.00412734065607,47.7916666667,47.7208333333,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.5,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Partial FFT+FEC,881,0,0,684537,236989,0.346203346203,0.00411883381044,47.7916666667,47.7208333333,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.5,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Lite,881,0,0,684537,228749,0.33416601294,0.0139932235653,47.7916666667,47.7208333333,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.5,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Wz,881,0,0,684537,244915,0.357781975262,0.0939357924915,47.7916666667,47.7208333333,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.5,1024,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-WCz,881,0,0,684537,244895,0.357752758434,0.0164386491237,47.7916666667,47.7208333333,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.5,2048,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Standard OFDM,444,0,0,693084,202855,0.292684580801,0.00995943080856,47.7916666667,47.73,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.5,2048,16,19200,19200,legacy_uncapped,19200,9600,19200,1,Partial FFT+FEC,444,0,0,693084,207563,0.299477408222,0.00998844338288,47.7916666667,47.73,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.5,2048,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Lite,444,0,0,693084,201555,0.29080890628,0.0350041702027,47.7916666667,47.73,0,1,ok
0a2d9275775853c709f84102c02f23f6907891a3,red1,20,0.25,8,8,0.5,2048,16,19200,19200,legacy_uncapped,19200,9600,19200,1,JUNA-Wz,444,0,0,693084,216799,0.312803354283,0.224758824982,47.7916666667,47.73,0,1,ok
